label,code,abbreviation,has_parent_category
Handlines and hand-operated pole-and-lines,09.1.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 09.1 [start: 2016-01-01T00:00:00Z],LHP,09; 09.0.0
Mechanized lines and pole-and-lines,09.2.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 09.2 [start: 2016-01-01T00:00:00Z],LHM,09; 09.0.0
Set longlines,09.3.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 09.31 [start: 2016-01-01T00:00:00Z],LLS,09; 09.0.0
Vertical lines,09.4 [start: 2016-01-01T00:00:00Z],LVT,09; 09.0.0
Drifting longlines,09.4.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 09.32 [start: 2016-01-01T00:00:00Z],LLD,09; 09.0.0
Longlines (NEI),09.5.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 09.39 [start: 2016-01-01T00:00:00Z],LL,09; 09.0.0
Trolling lines,09.6.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 09.5 [start: 2016-01-01T00:00:00Z],LTL,09; 09.0.0
Hooks and lines (NEI),09.9.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 09.9 [start: 2016-01-01T00:00:00Z],LX,09; 09.0.0
Miscellaneous Gear,10.0.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 10 [start: 2016-01-01T00:00:00Z],,
Harpoons,10.1.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 10.1 [start: 2016-01-01T00:00:00Z],HAR,10; 10.0.0
"Hand implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)",10.2 [start: 2016-01-01T00:00:00Z],MHI,10; 10.0.0
Electric fishing,10.4 [start: 2016-01-01T00:00:00Z],MEL,10; 10.0.0
Pushnets,10.5 [start: 2016-01-01T00:00:00Z],MPN,10; 10.0.0
Scoopnets,10.6 [start: 2016-01-01T00:00:00Z],MSP,10; 10.0.0
Drive-in nets,10.7 [start: 2016-01-01T00:00:00Z],MDR,10; 10.0.0
Diving,10.8 [start: 2016-01-01T00:00:00Z],MDV,10; 10.0.0
Pumps,11.0.1 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 10.3 [start: 2016-01-01T00:00:00Z],MPM,10; 10.0.0
Gear NEI,20.0.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 10.9 [start: 2016-01-01T00:00:00Z],MIS,10; 10.0.0
Gear Not Known,99.0.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 99 [start: 2016-01-01T00:00:00Z],,
Gear not known,99.9 [start: 2016-01-01T00:00:00Z],NK,99; 99.0.0
