Label_en;Label_es;P2:string;P29:string;P76:string;P39:wikibase-item;P50:wikibase-item;P48:globe-coordinate
Port of Los Abrigos;Puerto de Los Abrigos;Los Abrigos;;;Q70;Q268;28.027940,-16.592761,0.000001
Port of Las Galletas;Puerto de Las Galletas;Las Galletas;;;Q70;Q268;28.007787,-16.659777,0.000001
Port of Guía de Isora;Puerto de Guía de Isora;Guía de Isora;;;Q70;Q268;28.179628,-16.814877,0.000001
Port of Garachico;Puerto de Garachico;Garachico;ESGRC;Comunidad Autónoma;Q70;Q268;28.373867,-16.754243,0.000001
Port of El Sauzal;Puerto del Sauzal;El Sauzal;;;Q70;Q268;28.473921,-16.449236,0.000001
Port of El Puertito de Güimar;Puerto del Puertito de Güimar;El Puertito de Güimar;;;Q70;Q268;28.286870,-16.380067,0.000001
Port of El Pris - Tacoronte;Puerto del Pris -Tacoronte;El Pris - Tacoronte,,El Pris;;;Q70;Q268;28.50.8312,-16.421873,0.000001
Port of El Medano;Puerto del Medano;El Medano;;;Q70;Q268;28.042933,-16.535301,0.000001
Port of Candelaria;Puerto de Candelaria;Candelaria;;;Q70;Q268;28.357536,-16.368581,0.000001
Port of Buenavista;Puerto de Buenavista;Buenavista,,Buenavista Norte;;;Q70;Q268;28.375614,-16.860261,0.000001
Port of Los Cristianos (Arona);Puerto de Los Cristianos,,Arona;Los Cristianos,,Arona;ESLCR;Administración General del Estado;Q70;Q269;28.048897,-16.719369,0.000001
Port of Alcalá;Puerto de Alcalá;Alcalá,,Alcala;;;Q70;Q269;28,200846,-16,829793,0.000001
Port of Santa Cruz de La Palma;Puerto de Santa Cruz de La Palma;Santa Cruz de La Palma;ESSCP;Administración General del Estado;Q70;Q270;28.675897,-17.765771,0.000001
Port of Villa de Mazo;Puerto de Villa de Mazo;Villa de Mazo;;;Q70;Q270;28.613093,-17.755255,0.000001
Port of Tazacorte;Puerto de Tazacorte;Tazacorte;ESTAZ;;Q70;Q270;28.645521,-17.943262,0.000001
Port of Fuencaliente;Puerto de Fuencaliente;Fuencaliente;;;Q70;Q270;28.499559,-17.812506,0.000001
Port of San Sebastián de La Gomera;Puerto de San Sebastián de la Gomera;San Sebastián de la Gomera;ESSSG;Administración General del Estado;Q70;Q271;28.087822,-17.108896,0.000001
Port of Valle Gran Rey;Puerto de Valle Gran Rey;Valle Gran Rey;;;Q70;Q271;28.081805,-17.331763,0.000001
Port of Playa de Santiago;Puerto de Playa de Santiago;Playa de Santiago;ESPPS;;Q70;Q271;28.237102,-16.843482,0.000001
Port of El Hierro;Puerto de El Hierro,,La Estaca;El Hierro,,La Estaca;ESVDE;Administración General del Estado;Q70;Q272;27.783694,-17.902028,0.000001
Port of La Restinga;Puerto de La Restinga;La Restinga;ESLRT;;Q70;Q272;27.639875,-17.980785,0.000001
Port of Gandía;Puerto de Gandía;Gandia,,Gandía;ESGAN;Administración General del Estado;Q70;Q273;38.994036,-0.157232,0.000001
Port of Valencia;Puerto de Valencia;Valencia;ESVLC;Administración General del Estado;Q70;Q274;39.457480,-0.326892,0.000001
Port of Perellonet;Puerto de Perellonet;Perellonet,,El Perellonet;;;Q70;Q274;39.278958,-0.275505,0.000001
Port of Cullera;Puerto de Cullera;Cullera;ESCUL;Comunidad Autónoma;Q70;Q274;39.161185,-0.255731,0.000001
Port of Sagunto;Puerto de Sagunto;Sagunto;ESSAG;Comunidad Autónoma;Q70;Q275;39.652178,-0.210065,0.000001
Port of Portonovo;Puerto de Portonovo;Portonovo;;Comunidad Autónoma;Q70;Q276;43.394554,-8.822164,0.000001
Port of Sanjenjo;Puerto de Sanjenjo;Sanjenjo,,Sanxenxo;;Comunidad Autónoma;Q70;Q276;43.397775,-8.802390,0.000001
Port of Campelo;Puerto de Campelo;Campelo;ESCAM;Comunidad Autónoma;Q70;Q276;42.427451,-8.686181,0.000001
Port of Combarro;Puerto de Combarro;Combarro;;;Q70;Q276;42.427646,-8.706264,0.000001
Port of Rajó;Puerto de Rajó;Rajo,,Rajó,,Raxó;;Comunidad Autónoma;Q70;Q276;42.402516,-8.754176,0.000001
Port of Marín;Puerto de Marín;Marín,,Marin;ESMPG;Administración General del Estado;Q70;Q277;42.397020,-8.696310,0.000001
